created_at,Sujectivity_average,polarity_average,createDate
"2020-11-09 04:11:22",0.3825,0.0454,2020-11-09
"2020-11-10 03:02:30",0.3434,0.0522,2020-11-10
"2020-11-18 00:19:52",0.3678,0.0543,2020-11-18
"2020-11-23 22:50:21",0.3762,0.0034,2020-11-23
"2020-11-25 02:01:05",0.3738,0.0270,2020-11-25
"2021-01-21 20:41:16",0.2561,0.0421,2021-01-21
"2021-01-27 03:01:07",0.3006,0.0189,2021-01-27
"2021-01-28 22:05:17",0.3897,0.0798,2021-01-28
"2021-02-01 05:25:36",0.2972,0.0410,2021-02-01
"2021-02-04 21:00:00",0.3291,0.0645,2021-02-04
"2021-02-05 00:00:00",0.3542,0.0476,2021-02-05
"2021-02-06 00:00:00",0.3525,0.0437,2021-02-06
"2021-02-07 00:00:00",0.3789,0.0342,2021-02-07
"2021-02-08 00:00:00",0.3732,0.0345,2021-02-08
"2021-02-09 00:00:00",0.3512,0.0409,2021-02-09
"2021-02-10 00:00:00",0.3476,0.0509,2021-02-10
"2021-02-11 00:00:00",0.3364,0.0405,2021-02-11
"2021-02-12 02:12:01",0.3195,0.0449,2021-02-12
"2021-02-13 03:03:44",0.3666,0.0666,2021-02-13
"2021-02-14 00:00:00",0.3539,0.0529,2021-02-14
"2021-02-15 00:00:00",0.3305,0.0403,2021-02-15
"2021-02-16 15:56:04",0.3612,0.0684,2021-02-16
"2021-02-17 00:00:00",0.3823,0.0693,2021-02-17
"2021-02-18 00:00:00",0.3379,0.0396,2021-02-18
"2021-02-19 00:00:00",0.3917,0.0577,2021-02-19
"2021-02-20 00:19:37",0.3410,0.0420,2021-02-20
"2021-02-21 00:00:00",0.3638,0.0397,2021-02-21
"2021-02-22 00:00:00",0.3346,0.0313,2021-02-22
